cid,smiles,acvalue,categories
145993365,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC=C8)OC)OC,4.44,inhibitor
155520390,C1=CC=C(C=C1)NC2=NC(=NC3=C2C=CN3)NC4=CNN=C4,4.47,inhibitor
137643703,CCCC=C(C1=CC(=C(C(=C1)OC)OC)OC)C(=CC2=CC(=C(C=C2)OC)O)C,4.512,inhibitor
155538841,CC1=CC(=C(C(=C1)C)NC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC=C(C=C4)C=CC(=O)NO)C,4.58,inhibitor
127050794,COC1=CC=C(C=C1)NC=CC(=O)C2=CN(N=C2C3=CC=C(C=C3)F)C4=CC=CC=C4,4.6,inhibitor
127052331,COC1=CC(=CC(=C1OC)OC)C2=NN(C=C2C(=O)C=CNC3=CC=C(C=C3)O)C4=CC=CC=C4,4.6,inhibitor
137632660,COC1=CC=CC2=C1N=C(C=C2)CNCC3=CC=C(C=C3)C=CC(=O)NO,4.6,inhibitor
145986648,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC=C8Cl)OC)OC,4.63,inhibitor
145972296,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4C)(C)C)CCC3)NCCO)C)C.[I-],4.73,inhibitor
145992000,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C3C=C2CC4C5=C(C(=C(C=C5CCN4C)OC)OC)OC6=C(C=C7CCN(C(C7=C6)CC8=CC=C(O3)C=C8)C)OC)OC,4.75,inhibitor
137635997,CC1=CC(=NN1CCCOC2=C(C=C(C=C2)C=CC(=O)C3=CC=C(C=C3)OC)OC)C,4.78,inhibitor
137656290,C1COC2(C3=C(C=CC(=C3)Br)N(C2=O)CCC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)OC1,4.82,inhibitor
